name,slug
Matthew R. Elkin,matthew-r-elkin
Phoebe C. Ellsworth,phoebe-c-ellsworth
Samuel Erman,samuel-erman
Zachary Fasman,zachary-fasman
Leonid Feller,leonid-feller
Jeffrey Finger,jeffrey-finger
Betsy L. Fisher,betsy-l-fisher
Matthew L.M. Fletcher,matthew-l-m-fletcher
Edward G. Fox,edward-g-fox
Richard D. Friedman,richard-d-friedman
Bruce Frier,bruce-frier
Philip M. Frost,philip-m-frost
Daniel Fryer,daniel-fryer
Barbara H. Garavaglia,barbara-h-garavaglia
Steve Gray,steve-gray
Thomas A. Green,thomas-a-green
Samuel R. Gross,samuel-r-gross
David B. Guenther,david-b-guenther
Daniel H. Halberstam,daniel-h-halberstam
Margaret C. Hannon,margaret-c-hannon
James C. Hathaway,james-c-hathaway
Jennifer A. Haverkamp,jennifer-a-haverkamp
Scott A. Hershovitz,scott-a-hershovitz
Don Herzog,don-herzog
Laura Hills,laura-hills
James Hines Jr.,james-hines-jr
Nicholas Calcina Howson,nicholas-calcina-howson
John G.H. Hudson,john-g-h-hudson
Caroline Humfress,caroline-humfress
Daniel R. Hurley,daniel-r-hurley
Jerold H. Israel,jerold-h-israel
Allyn D. Kantor,allyn-d-kantor
Lawrence Kaplan,lawrence-kaplan
Ellen D. Katz,ellen-d-katz
Joshua B. Kay,joshua-b-kay
Barbara A. Kaye,barbara-a-kaye
Noah Kazis,noah-kazis
Dennis Kennedy,dennis-kennedy
Vikramaditya S. Khanna,vikramaditya-s-khanna
Hwa-Jin Kim,hwa-jin-kim
Jaeeun Kim,jaeeun-kim
George Kimball,george-kimball
Anna Kirkland,anna-kirkland
Alexandra Klass,alexandra-klass
Christopher Knight,christopher-knight
Thomas Knox,thomas-knox
David W. Koch,david-w-koch
Kerry Kornblatt,kerry-kornblatt
Susan M. Kornfield,susan-m-kornfield
James E. Krier,james-e-krier
Francine Lafontaine,francine-lafontaine
Naomi R. Lamoreaux,naomi-r-lamoreaux
Margaret A. Leary,margaret-a-leary
Julianna Lee,julianna-lee
Jessica Lefort,jessica-lefort
Richard O. Lempert,richard-o-lempert
Amanda Leon,amanda-leon
Sandra Levitsky,sandra-levitsky
Jessica Litman,jessica-litman
Leah Litman,leah-litman
Kyle D. Logue,kyle-d-logue
Katie Louras,katie-louras
Timothy G. Lynch,timothy-g-lynch
Catharine A. MacKinnon,catharine-a-mackinnon
Pavan Mamidi,pavan-mamidi
Julianne Marley,julianne-marley
Brian Masterson,brian-masterson
J. Christopher McCrudden,j-christopher-mccrudden
Barbara L. McQuade,barbara-l-mcquade
Ron Meisler,ron-meisler
Edgar Melgar,edgar-melgar
Nina A. Mendelson,nina-a-mendelson
Gabriel Mendlow,gabriel-mendlow
Angeles Meneses,angeles-meneses
William Ian Miller,william-ian-miller
Michael L. Mittlestat,michael-l-mittlestat
Donald P. Moore,donald-p-moore
David A. Moran,david-a-moran
Julian Davis Mortenson,julian-davis-mortenson
Sarah Moss,sarah-moss
Chavi Keeney Nana,chavi-keeney-nana
Austin Nelson,austin-nelson
Sofia Nelson,sofia-nelson
Anna W. Nicol,anna-w-nicol
Leonard M. Niehoff,leonard-m-niehoff
Marcia Nordgren,marcia-nordgren
William J. Novak,william-j-novak
Adrian A. Ohmer,adrian-a-ohmer
Mark K. Osbeck,mark-k-osbeck
Daniel Osher,daniel-osher
Susan D. Page,susan-d-page
Mark Paist,mark-paist
Albert Pak,albert-pak
Belisa Pang,belisa-pang
Sanjukta Paul,sanjukta-paul
Sallyanne Payton,sallyanne-payton
Lara Alice Pender,lara-alice-pender
Aaron Perzanowski,aaron-perzanowski
Anne Peters,anne-peters
Debra A. Pinals,debra-a-pinals
Timothy M. Pinto,timothy-m-pinto
John A.E. Pottow,john-a-e-pottow
Ashish Prasad,ashish-prasad
JJ Prescott,jj-prescott
Nicholson Price,nicholson-price
Emily A. Prifogle,emily-a-prifogle
Eve Brensike Primus,eve-brensike-primus
Richard Primus,richard-primus
Adam C. Pritchard,adam-c-pritchard
Margaret Jane Radin,margaret-jane-radin
Steven R. Ratner,steven-r-ratner
Gabriel V. Rauterberg,gabriel-v-rauterberg
Chad Readler,chad-readler
Donald H. Regan,donald-h-regan
Mathias W. Reimann,mathias-w-reimann
Paul D. Reingold,paul-d-reingold
Eric Richardson,eric-richardson
Nicholas J. Rine,nicholas-j-rine
Rachel Rothschild,rachel-rothschild
Tifani Sadek,tifani-sadek
Oday Salim,oday-salim
Melissa M. Salinas,melissa-m-salinas
Sarah Sallen,sarah-sallen
Amy L. Sankaran,amy-l-sankaran
Vivek S. Sankaran,vivek-s-sankaran
David A. Santacroce,david-a-santacroce
Eli N. Savit,eli-n-savit
Suellyn Scarnecchia,suellyn-scarnecchia
Steven Schaus,steven-schaus
Margo Schlanger,margo-schlanger
Rebecca J. Scott,rebecca-j-scott
Gil Seinfeld,gil-seinfeld
Bruno E. Simma,bruno-e-simma
Joel Slemrod,joel-slemrod
Eric Sloat,eric-sloat
Spencer D. Smith,spencer-d-smith
Roseanna Sommers,roseanna-sommers
Philip Soper,philip-soper
Theodore J. St. Antoine,theodore-j-st-antoine
Andrew Stawasz,andrew-stawasz
Michael J. Steinberg,michael-j-steinberg
Julia Stuebing,julia-stuebing
Neel Sukhatme,neel-sukhatme
Imran J. Syed,imran-j-syed
Paul Szynol,paul-szynol
Bruce C. Thelen,bruce-c-thelen
Dana A. Thompson,dana-a-thompson
David B. Thronson,david-b-thronson
Travis Townsend,travis-townsend
Dana Trier,dana-trier
Carl A. Valenstein,carl-a-valenstein
Frank E. Vandervort,frank-e-vandervort
Olivia Vigiletti,olivia-vigiletti
Salomé Viljoen,salom-viljoen
Joseph Vining,joseph-vining
Lawrence W. Waggoner,lawrence-w-waggoner
Christopher J. Walker,christopher-j-walker
Mark D. West,mark-d-west
Peter K. Westen,peter-k-westen
James Boyd White,james-boyd-white
James J. White,james-j-white
Christina B. Whitman,christina-b-whitman
Beth H. Wilensky,beth-h-wilensky
David J. Willbrand,david-j-willbrand
Kristen Wolff,kristen-wolff
Patricia Wyrod,patricia-wyrod
Ekow Yankah,ekow-yankah
Jeffery Zhang,jeffery-zhang
